__time,/fmu/out/vehicle_odometry/angular_velocity[0],/fmu/out/vehicle_odometry/angular_velocity[1],/fmu/out/vehicle_odometry/angular_velocity[2],/fmu/out/vehicle_odometry/orientation_variance[0],/fmu/out/vehicle_odometry/orientation_variance[1],/fmu/out/vehicle_odometry/orientation_variance[2],/fmu/out/vehicle_odometry/pose_frame,/fmu/out/vehicle_odometry/position[0],/fmu/out/vehicle_odometry/position[1],/fmu/out/vehicle_odometry/position[2],/fmu/out/vehicle_odometry/position_variance[0],/fmu/out/vehicle_odometry/position_variance[1],/fmu/out/vehicle_odometry/position_variance[2],/fmu/out/vehicle_odometry/q[0],/fmu/out/vehicle_odometry/q[1],/fmu/out/vehicle_odometry/q[2],/fmu/out/vehicle_odometry/q[3],/fmu/out/vehicle_odometry/quality,/fmu/out/vehicle_odometry/reset_counter,/fmu/out/vehicle_odometry/timestamp,/fmu/out/vehicle_odometry/timestamp_sample,/fmu/out/vehicle_odometry/velocity[0],/fmu/out/vehicle_odometry/velocity[1],/fmu/out/vehicle_odometry/velocity[2],/fmu/out/vehicle_odometry/velocity_frame,/fmu/out/vehicle_odometry/velocity_variance[0],/fmu/out/vehicle_odometry/velocity_variance[1],/fmu/out/vehicle_odometry/velocity_variance[2],/uav/target_position/x,/uav/target_position/y,/uav/target_position/z
1777391624.979457,0.014978430,-0.100285292,-0.011134697,0.000020836,0.000018582,0.000065268,1.000000000,-7.572880268,-0.818104804,-9.991681099,0.011381540,0.011376058,0.026019018,0.772769868,-0.029031422,-0.042756274,0.632578671,0.000000000,14.000000000,1777391624979967.000000000,1777391624974967.000000000,0.384913236,-2.032480001,0.006623067,1.000000000,0.003073607,0.003129908,0.002059569,,,
1777391624.984407,0.014671036,-0.100873850,-0.010332542,0.000020850,0.000018586,0.000065126,1.000000000,-7.570982933,-0.827793241,-9.991695404,0.011419028,0.011413501,0.026064890,0.772776306,-0.028839553,-0.042930514,0.632567823,0.000000000,14.000000000,1777391624984967.000000000,1777391624979967.000000000,0.389751732,-2.030844688,0.006647807,1.000000000,0.003084810,0.003141502,0.002062872,,,
1777391624.991547,0.013847601,-0.100162677,-0.009046320,0.000020855,0.000018589,0.000065135,1.000000000,-7.569065571,-0.837512434,-9.991703033,0.011437884,0.011432435,0.026087865,0.772780955,-0.028650377,-0.043104701,0.632559001,0.000000000,14.000000000,1777391624987467.000000000,1777391624984967.000000000,0.394561946,-2.029203415,0.006675116,1.000000000,0.003089707,0.003146829,0.002063758,,,
1777391624.992086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.355232196,-3.940358712,-9.985322952
1777391624.994522,0.016023992,-0.100311019,-0.010027718,0.000020823,0.000018540,0.000065105,1.000000000,-7.566181183,-0.851767004,-9.991740227,0.011247855,0.011242072,0.025884965,0.772789299,-0.028359996,-0.043364070,0.632544160,0.000000000,14.000000000,1777391624994967.000000000,1777391624992467.000000000,0.401753545,-2.026485443,0.006676052,1.000000000,0.003029948,0.003086010,0.002049285,,,
1777391624.999530,0.016651342,-0.100588523,-0.009970806,0.000020837,0.000018548,0.000065125,1.000000000,-7.565225124,-0.856356680,-9.991767883,0.011284737,0.011279104,0.025930515,0.772792041,-0.028260423,-0.043450482,0.632539213,0.000000000,14.000000000,1777391624999967.000000000,1777391624994967.000000000,0.404150665,-2.025464535,0.006660776,1.000000000,0.003041157,0.003098076,0.002052588,,,
1777391625.004614,0.015713360,-0.100859508,-0.010303474,0.000020850,0.000018556,0.000065146,1.000000000,-7.563238144,-0.865979612,-9.991782188,0.011321804,0.011316326,0.025976168,0.772798240,-0.028066287,-0.043623120,0.632528365,0.000000000,14.000000000,1777391625004967.000000000,1777391624999967.000000000,0.408973277,-2.023686409,0.006679572,1.000000000,0.003052395,0.003110168,0.002055891,,,
1777391625.009608,0.015894435,-0.100562744,-0.009854096,0.000020856,0.000018559,0.000065155,1.000000000,-7.561230659,-0.875635743,-9.991788864,0.011340410,0.011335013,0.025999034,0.772803783,-0.027872154,-0.043794964,0.632518351,0.000000000,14.000000000,1777391625007467.000000000,1777391625004967.000000000,0.413788736,-2.021902800,0.006692442,1.000000000,0.003057258,0.003115458,0.002056777,,,
1777391625.012122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.313238807,-3.933378340,-9.985322952
1777391625.014491,0.015434992,-0.100962162,-0.009665219,0.000020875,0.000018570,0.000065184,1.000000000,-7.558199883,-0.889880836,-9.991814613,0.011396497,0.011391346,0.026012937,0.772811174,-0.027579015,-0.044055466,0.632504046,0.000000000,14.000000000,1777391625014967.000000000,1777391625012467.000000000,0.421003640,-2.019097805,0.006741865,1.000000000,0.003073413,0.003132906,0.002059263,,,
