__time,/fmu/out/vehicle_odometry/angular_velocity[0],/fmu/out/vehicle_odometry/angular_velocity[1],/fmu/out/vehicle_odometry/angular_velocity[2],/fmu/out/vehicle_odometry/orientation_variance[0],/fmu/out/vehicle_odometry/orientation_variance[1],/fmu/out/vehicle_odometry/orientation_variance[2],/fmu/out/vehicle_odometry/pose_frame,/fmu/out/vehicle_odometry/position[0],/fmu/out/vehicle_odometry/position[1],/fmu/out/vehicle_odometry/position[2],/fmu/out/vehicle_odometry/position_variance[0],/fmu/out/vehicle_odometry/position_variance[1],/fmu/out/vehicle_odometry/position_variance[2],/fmu/out/vehicle_odometry/q[0],/fmu/out/vehicle_odometry/q[1],/fmu/out/vehicle_odometry/q[2],/fmu/out/vehicle_odometry/q[3],/fmu/out/vehicle_odometry/quality,/fmu/out/vehicle_odometry/reset_counter,/fmu/out/vehicle_odometry/timestamp,/fmu/out/vehicle_odometry/timestamp_sample,/fmu/out/vehicle_odometry/velocity[0],/fmu/out/vehicle_odometry/velocity[1],/fmu/out/vehicle_odometry/velocity[2],/fmu/out/vehicle_odometry/velocity_frame,/fmu/out/vehicle_odometry/velocity_variance[0],/fmu/out/vehicle_odometry/velocity_variance[1],/fmu/out/vehicle_odometry/velocity_variance[2],/model/payload_ball/pose/header/header/stamp,/model/payload_ball/pose/pose/orientation/pitch,/model/payload_ball/pose/pose/orientation/roll,/model/payload_ball/pose/pose/orientation/w,/model/payload_ball/pose/pose/orientation/x,/model/payload_ball/pose/pose/orientation/y,/model/payload_ball/pose/pose/orientation/yaw,/model/payload_ball/pose/pose/orientation/z,/model/payload_ball/pose/pose/position/x,/model/payload_ball/pose/pose/position/y,/model/payload_ball/pose/pose/position/z,/uav/target_position/x,/uav/target_position/y,/uav/target_position/z
1777445871.334613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.370000000,1.254956990,-0.117220947,0.808847277,-0.024443317,0.587504146,-0.078297043,0.002735839,3.829970283,-5.642251682,10.103920239,,,
1777445871.338982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.375000000,1.254943660,-0.117250684,0.808850853,-0.024445520,0.587499159,-0.078331982,0.002729975,3.829795943,-5.647660575,10.103870773,,,
1777445871.340485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.537757526,2.546031189,-9.995555878
1777445871.341569,-0.010794505,0.006304783,0.001804878,0.000025202,0.000016313,0.000422693,1.000000000,-5.764433384,3.736996651,-9.988780975,0.011364422,0.011304195,0.026297640,0.707212031,-0.022827294,0.018639985,0.706387043,0.000000000,14.000000000,1777445871298849.000000000,1777445871298849.000000000,-1.069443703,-0.119190544,-0.007252350,1.000000000,0.003489846,0.003046069,0.002114838,,,,,,,,,,,,,,
1777445871.344004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.380000000,1.254929459,-0.117283662,0.808854647,-0.024448089,0.587493858,-0.078370234,0.002723693,3.829606099,-5.653064235,10.103821347,,,
1777445871.344182,-0.010347622,0.006096289,0.000915876,0.000025214,0.000016322,0.000422725,1.000000000,-5.767115593,3.736767292,-9.988761902,0.011403277,0.011341332,0.026344914,0.707214534,-0.022841645,0.018636091,0.706384182,0.000000000,14.000000000,1777445871301349.000000000,1777445871301349.000000000,-1.068871379,-0.120763659,-0.007267026,1.000000000,0.003504371,0.003057901,0.002118318,,,,,,,,,,,,,,
1777445871.349113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.385000000,1.254914350,-0.117319842,0.808858671,-0.024451024,0.587488226,-0.078411755,0.002716997,3.829400745,-5.658462657,10.103771971,,,
1777445871.349225,-0.009362740,0.006399060,0.000961092,0.000025226,0.000016331,0.000422758,1.000000000,-5.772471428,3.736227036,-9.988758087,0.011442346,0.011378656,0.026392298,0.707215428,-0.022869309,0.018630767,0.706382513,0.000000000,14.000000000,1777445871306349.000000000,1777445871306349.000000000,-1.067715883,-0.123914383,-0.007276807,1.000000000,0.003518942,0.003069762,0.002121801,,,,,,,,,,,,,,
1777445871.354032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.390000000,1.254898307,-0.117359239,0.808862933,-0.024454329,0.587482254,-0.078456549,0.002709888,3.829179877,-5.663855838,10.103722636,,,
1777445871.354171,-0.009176807,0.007150040,0.001473015,0.000025231,0.000016335,0.000422772,1.000000000,-5.777825832,3.735668659,-9.988761902,0.011461966,0.011397392,0.026416034,0.707215548,-0.022897942,0.018627124,0.706381500,0.000000000,14.000000000,1777445871311349.000000000,1777445871311349.000000000,-1.066581488,-0.127091378,-0.007258270,1.000000000,0.003525468,0.003074940,0.002122777,,,,,,,,,,,,,,
1777445871.359083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.395000000,1.254881321,-0.117401909,0.808867434,-0.024458008,0.587475938,-0.078504687,0.002702356,3.828943491,-5.669243774,10.103673326,,,
1777445871.360428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.548501145,2.521245348,-9.995555878
1777445871.361745,-0.008138300,0.007204777,0.000952223,0.000025247,0.000016347,0.000422819,1.000000000,-5.785848141,3.734834433,-9.988748550,0.011521141,0.011453876,0.026487401,0.707218826,-0.022939833,0.018623823,0.706377029,0.000000000,14.000000000,1777445871318849.000000000,1777445871318849.000000000,-1.064884901,-0.131842762,-0.007250840,1.000000000,0.003546583,0.003092040,0.002127233,,,,,,,,,,,,,,
1777445871.364149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.400000000,1.254863398,-0.117447934,0.808872172,-0.024462067,0.587469282,-0.078556256,0.002694387,3.828691579,-5.674626461,10.103624065,,,
1777445871.364348,-0.007908559,0.005726889,0.001905285,0.000025169,0.000016300,0.000421416,1.000000000,-5.788516998,3.734574795,-9.988731384,0.011303774,0.011244843,0.026252747,0.707220256,-0.022951690,0.018621804,0.706375182,0.000000000,14.000000000,1777445871321349.000000000,1777445871321349.000000000,-1.064298630,-0.133400023,-0.007257937,1.000000000,0.003465073,0.003027864,0.002111077,,,,,,,,,,,,,,
1777445871.369074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.405000000,1.254844557,-0.117497420,0.808877140,-0.024466517,0.587462295,-0.078611366,0.002685970,3.828424137,-5.680003894,10.103574866,,,
1777445871.369332,-0.008490976,0.005821617,0.002765122,0.000025179,0.000016308,0.000421090,1.000000000,-5.793846607,3.733972311,-9.988729477,0.011342124,0.011281638,0.026299894,0.707217813,-0.022976683,0.018617086,0.706376970,0.000000000,14.000000000,1777445871326349.000000000,1777445871326349.000000000,-1.063154697,-0.136576936,-0.007306498,1.000000000,0.003479068,0.003039574,0.002114556,,,,,,,,,,,,,,
1777445871.374069,-0.008579311,0.007280734,0.003198486,0.000025184,0.000016312,0.000421105,1.000000000,-5.799175262,3.733351469,-9.988733292,0.011361469,0.011300130,0.026323510,0.707215667,-0.023004407,0.018614812,0.706378281,0.000000000,14.000000000,1777445871331349.000000000,1777445871331349.000000000,-1.062018514,-0.139741912,-0.007362589,1.000000000,0.003485538,0.003044711,0.002115532,,,,,,,,,,,,,,
